title,brand,price,rating,votes,sales_last_month,image_url,url,has_reviews,category,rank,scraped_at
"Caméra d'action au pouce – Caméras avec enregistrement audio et vidéo | Caméra d'action portable | Étanche 4K avec magnétique et clip à 360° pour cyclisme, moto, gym, randonnée, voyage, sports de",Caméra,69.99,,,100.0,https://m.media-amazon.com/images/I/619xPYL+0XL._AC_UL320_.jpg,https://www.amazon.fr/Cam%C3%A9ra-daction-pouce-enregistrement-magn%C3%A9tique/dp/B0F4X41GN5/ref=sr_1_25,False,Objets connectés,25,2025-06-24 15:18:12.660257
"COROS Pace 3 Montre GPS de Sport, légère et Confortable, 17 Jours d'autonomie, Montre de Running GPS Double fréquence, Fréquence Cardiaque, Navigation, Suivi du Sommeil, Course à Pied (Nylon Encre)",COROS,249.0,4.5,1921.0,100.0,https://m.media-amazon.com/images/I/81OX6InPf2L._AC_UL320_.jpg,https://www.amazon.fr/COROS-Confortable-dautonomie-fr%C3%A9quence-Navigation/dp/B0D6VRD4SB/ref=sr_1_26,True,Objets connectés,26,2025-06-24 15:18:12.661526
"Ecouteurs Bluetooth sans Fil Sport, 2025 Headphones 5.4 HiFi Stéréo, Ecouteurs sans Fil avec ENC Mic, Ecouteur Pour Courir, IP7 Étanche Écouteur, 40H, Oreillette Sans Fil, Casque Écran LED, Bleu",Ecouteurs,23.99,4.5,1589.0,400.0,https://m.media-amazon.com/images/I/71gcgqJHpVL._AC_UL320_.jpg,https://www.amazon.fr/Jesebang-Ecouteurs-Bluetooth-%C3%89couteur-Oreillette/dp/B0CR49Y7Q4/ref=sr_1_27,True,Objets connectés,27,2025-06-24 15:18:12.663451
"DJI Bundle Standard Osmo Action 5 Pro, Caméra Étanche avec Capteur 1/1,3"", Vidéo 4K/120 IPS, Suivi de Sujet, Stabilisation, Double Écran Tactile OLED, Caméra d’Action 4K Idéale pour Sports, Vlog",DJI,375.84,4.5,1538.0,100.0,https://m.media-amazon.com/images/I/71LN4iT1PqL._AC_UL320_.jpg,https://www.amazon.fr/DJI-Standard-%C3%89tanche-Capteur-Stabilisation/dp/B0D1YH4B2R/ref=sr_1_28,True,Objets connectés,28,2025-06-24 15:18:12.665098
"Insta360 X4 - Caméra d'action 360° 8K étanche, vidéo grand angle 4K, effet de perche à selfie invisible, protège-objectifs amovibles, 135 min d'autonomie, édition IA, stabilisation, pour sport, voyage",Insta360,475.99,4.4,1393.0,50.0,https://m.media-amazon.com/images/I/61rir1x7EyL._AC_UL320_.jpg,https://www.amazon.fr/Insta360-X4-prot%C3%A8ge-objectifs-dautonomie-stabilisation/dp/B0CXPWMZQS/ref=sr_1_29,True,Objets connectés,29,2025-06-24 15:18:12.668258
"Soundcore Space One Casque Bletooth sans fil avec Réduction de Bruit Active Adaptative by Anker, Réduction des Voix Humaine 2X Plus Efficace, ANC 46H, Contrôle app, LDAC Hi-Res Wireless Audio, Confort",Soundcore,72.99,4.3,9013.0,200.0,https://m.media-amazon.com/images/I/51jCt-yAPOL._AC_UL320_.jpg,https://www.amazon.fr/soundcore-R%C3%A9duction-Adaptative-Efficace-Ajustement/dp/B0C6KFZC9Z/ref=sr_1_30,True,Objets connectés,30,2025-06-24 15:18:12.669961
Apexcam M80 Caméra Sport 4K Stabilisateur 60FPS Action cam avec Carte 64GB Photo 48MP Camera Étanche 40M avec EIS 8X Zoom 170° Grand Angle avec Kits d'accessoires pour Aventures,Apexcam,53.49,4.6,432.0,200.0,https://m.media-amazon.com/images/I/71MqVAkobQL._AC_UL320_.jpg,https://www.amazon.fr/Apexcam-M80-Stabilisateur-avec-daccessoires/dp/B0DNJRLJQ7/ref=sr_1_31,True,Objets connectés,31,2025-06-24 15:18:12.671343
"JLab Go Work Casque Bluetooth sans Fil avec Micro, 2e Génération - +55h d'Autonomie, Bluetooth ou Dongle USB-C avec Connexion Multipoint pour Ordinateurs PC, Portables - avec ou sans Fil",JLab,49.99,3.9,12329.0,200.0,https://m.media-amazon.com/images/I/71y606kL8mL._AC_UL320_.jpg,https://www.amazon.fr/JLab-Work-Casque-g%C3%A9n%C3%A9ration-microphone/dp/B0C86SD46V/ref=sr_1_32,True,Objets connectés,32,2025-06-24 15:18:12.672403
AKASO Caméra Sport 4K Etanche WiFi Action Caméra Sportive Ultra Full HD Stabilisateur avec Télécommande Écran Tactile 30fps Angle Réglable 131 Pieds sous Marine 2 Batteries Kit d'Accessoires – V50X,AKASO,119.99,4.5,3603.0,100.0,https://m.media-amazon.com/images/I/71OUG6j-XGL._AC_UL320_.jpg,https://www.amazon.fr/Cam%C3%A9ra-Sport-Etanche-WiFi-Stabilisateur/dp/B07RHHWNK9/ref=sr_1_33,True,Objets connectés,33,2025-06-24 15:18:12.674412
"DJI Bundle Essentiel Osmo Action 5 Pro, Caméra Étanche avec Capteur 1/1,3"", Vidéo 4K/120 IPS, Suivi de Sujet, Stabilisation, Double Écran Tactile OLED, Caméra d’Action 4K Idéale pour Sports, Vlog",DJI,369.0,4.5,1538.0,50.0,https://m.media-amazon.com/images/I/71LN4iT1PqL._AC_UL320_.jpg,https://www.amazon.fr/DJI-Essentiel-%C3%89tanche-Capteur-Stabilisation/dp/B0DS2DF5S5/ref=sr_1_34,True,Objets connectés,34,2025-06-24 15:18:12.675148
