title,brand,price,rating,votes,sales_last_month,image_url,url,prime,category,rank,scraped_at
"AKASO V50 X Caméra Sport Kit de Poignée Flottant- Comprend 20MP Camera Sport 4K Etanche 30FPS avec Poignée Flottant pour Action Camera Sportive, Sac de Rangement, 2 Batteries et Plus",AKASO,139.99,4.4,197.0,50.0,https://m.media-amazon.com/images/I/81WJfbFJYlL._AC_UL320_.jpg,,False,Objets connectés,119,2025-06-24 11:52:05.571334
"Insta360 X4 Pack Luxe - Caméra d'action 360° 8K étanche, vidéo Grand Angle 4K, Perche à Selfie Invisible, protège-objectifs Amovibles, 135 Min d'autonomie, édition IA, stabilisation",Insta360,547.0,4.5,685.0,,https://m.media-amazon.com/images/I/61kq35GP8hL._AC_UL320_.jpg,,False,Objets connectés,120,2025-06-24 11:52:05.572016
Baobylon Nouvelle Version Mini Caméra Sport 1080P WiFi Camera de Poche pour Casque Camera Vlog Pieton Étanche jusqu'à 30M pour Les Passionnés d'Aventure Accessoires Multifonctions,Baobylon,76.99,3.9,27.0,,https://m.media-amazon.com/images/I/71ro+eWCyDL._AC_UL320_.jpg,,False,Objets connectés,121,2025-06-24 11:52:09.690636
"DEWALT - Enceinte Bluetooth XR 10,8/14,4/18 / 54V - DCR011-XJ - Sans Fil - Enceinte Connectée avec Port USB - Connectabilité dans un Rayon Maximal de 30 mètres",DEWALT,117.03,4.5,428.0,,https://m.media-amazon.com/images/I/61C1hrWwneL._AC_UL320_.jpg,,False,Objets connectés,122,2025-06-24 11:52:09.691680
"OneOdio ProC Bluetooth Casque sans Fil et Mode Filaire, 110 Heures d'utilisation,Casque Audio avec Micro, Hi-RES Audio, Coussinets en Protéines Douces, Extra Basses, Confortable Léger Pliable Noir",OneOdio,49.99,4.4,3444.0,50.0,https://m.media-amazon.com/images/I/71zT+KL2J-L._AC_UL320_.jpg,,False,Objets connectés,123,2025-06-24 11:52:09.693645
"Logitech POP Mouse, souris Bluetooth sans fil compacte et portable avec boutons programmables et clics discrets, Easy-Switch entre 3 dispositifs, ordinateur portable, tablette, PC - Graphite",Logitech,22.46,4.7,335.0,100.0,https://m.media-amazon.com/images/I/513Ni8ukgSL._AC_UL320_.jpg,,False,Objets connectés,124,2025-06-24 11:52:09.696098
"SIMOLIO SM-824D2 Doubles Casques sans Fil pour Télévision pour Séniors avec émetteur Support de Charge 2 en 1, Ecouteurs Numériques 2,4 GHz, Mode Dialogue Clair et Ambient Mode, Batterie de Rechange",SIMOLIO,189.99,4.2,3997.0,,https://m.media-amazon.com/images/I/51JYY9n7SNL._AC_UL320_.jpg,,False,Objets connectés,125,2025-06-24 11:52:09.697414
"Soundcore by Anker Space Q45, Casque à Réduction Active du Bruit Jusqu’à 98%, 50 Heures d’Autonomie, Audio sans Fil LDAC Hi-Res, Ajustement Confortable, Appels Clairs, Bluetooth 5.3",Soundcore,99.99,4.3,10792.0,50.0,https://m.media-amazon.com/images/I/71y9B19C5LL._AC_UL320_.jpg,,False,Objets connectés,126,2025-06-24 11:52:09.700027
"Insta360 GO 3S Blanc Arctique (128 Go) - Petite caméra de vlog 4K, POV Mains Libres, Montage Partout, stabilisation, 140 Min d'autonomie, étanche à 10 m, édition IA, pour vlog",Insta360,429.99,4.4,197.0,,https://m.media-amazon.com/images/I/71ti3cYFEwL._AC_UL320_.jpg,,False,Objets connectés,127,2025-06-24 11:52:09.700912
"Insta360 X5 Pack débutant - caméra d'action 360° 8K étanche, Basse lumière de Pointe, Perche à Selfie Invisible, objectifs Robustes et remplaçables, 3h d'autonomie, Pare-Vent intégré, stabilisation",Insta360,649.99,,,,https://m.media-amazon.com/images/I/61RN691ukQL._AC_UL320_.jpg,,False,Objets connectés,128,2025-06-24 11:52:09.701998
